token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
good,119.097,159.166,133.932,125.758,133.195,119.966,163.793,141.16
alum,94.618,144.955,172.174,35.056,49.948,67.94,17.241,140.365
designer,55.491,186.049,111.913,128.54,157.128,111.397,103.448,139.61
stuff,49.581,194.576,94.447,148.573,173.777,119.966,250.0,138.059
am,154.393,143.771,128.717,174.726,130.073,130.983,172.414,137.661
also,76.011,174.799,109.926,127.428,160.25,117.517,267.241,136.826
26,33.082,120.559,116.962,213.121,211.238,201.371,232.759,135.196
co,75.7,182.378,118.452,97.379,89.49,88.75,94.828,135.156
dog,64.403,115.467,171.181,71.226,77.003,63.655,116.379,134.242
phd,31.495,124.586,153.798,65.105,77.003,83.854,73.276,129.43
dad,112.93,336.689,10.181,41.734,126.951,14.078,81.897,127.442
pronouns,25.221,106.821,106.45,268.766,192.508,119.966,521.552,126.17
always,92.162,130.033,129.544,107.952,119.667,102.216,112.069,125.851
content,93.029,152.416,95.523,151.911,172.737,129.759,172.414,124.539
old,80.59,143.889,100.738,148.016,158.169,108.948,336.207,123.505
one,130.892,140.336,118.784,91.815,107.18,111.397,133.621,123.307
mostly,34.708,140.218,109.678,116.855,149.844,120.578,168.103,123.227
more,128.272,135.126,120.605,109.621,114.464,83.854,168.103,122.511
girl,73.838,21.198,201.973,42.847,22.893,192.802,146.552,121.955
as,116.502,142.113,106.615,127.984,133.195,106.5,176.724,121.716
mine,37.971,139.27,132.028,51.75,46.826,69.164,51.724,120.642
director,83.31,148.626,122.508,50.081,61.394,59.983,21.552,118.774
wife,118.096,24.633,213.479,28.379,19.771,56.923,60.345,117.859
former,92.447,154.192,116.549,43.403,71.8,54.474,60.345,117.7
now,107.947,137.849,112.575,85.137,97.815,93.035,142.241,117.541
new,152.863,144.126,108.437,79.016,89.49,70.388,94.828,114.996
teacher,79.598,98.768,151.728,47.855,38.502,50.19,73.276,114.877
icon,12.475,118.072,69.78,250.96,271.592,154.242,262.931,113.922
professional,83.271,131.454,102.477,105.169,126.951,104.664,86.207,113.326
streamer,47.223,147.087,76.733,138.0,162.331,140.776,155.172,112.889
science,55.728,131.217,121.598,55.089,56.191,51.414,86.207,112.69
trying,65.812,130.033,101.401,115.186,117.586,102.216,86.207,112.531
engineer,62.107,208.787,60.013,62.879,91.571,57.535,99.138,111.576
social,68.927,100.663,130.538,77.347,83.247,75.897,68.966,110.781
27,26.143,96.992,89.646,192.532,180.021,192.19,206.897,110.662
stan,26.026,90.597,128.717,81.242,114.464,120.578,43.103,110.662
creator,77.021,146.731,81.534,123.532,129.032,119.966,68.966,110.622
too,58.996,115.94,104.629,112.403,110.302,95.483,245.69,109.906
proud,118.5,116.177,119.446,74.008,90.531,55.698,90.517,109.588
twitter,146.596,127.783,93.123,122.976,118.626,100.379,133.621,108.713
human,50.457,105.519,113.651,109.065,68.678,103.44,137.931,108.435
anime,40.517,134.415,91.219,101.274,92.612,115.681,125.0,108.395
so,94.321,108.361,105.705,121.307,127.992,94.259,146.552,108.196
ig,201.854,76.03,130.703,104.057,98.855,112.621,77.586,107.56
what,119.692,109.308,106.202,102.387,88.45,107.112,137.931,106.646
advocate,55.872,85.031,135.918,62.879,52.029,66.716,56.034,105.174
people,117.768,123.164,103.718,80.686,81.165,62.431,73.276,104.777
minors,15.123,114.401,61.503,198.653,252.862,144.449,228.448,103.306
will,103.093,118.664,91.385,107.395,113.424,85.078,172.414,102.868
world,141.321,113.927,105.539,80.686,78.044,66.104,90.517,102.828
books,41.187,73.188,141.961,41.734,37.461,65.491,73.276,102.113
can,109.75,108.716,95.192,105.169,101.977,95.483,155.172,101.278
other,60.491,133.704,82.942,92.371,97.815,64.267,133.621,100.482
up,119.373,110.374,96.351,75.121,88.45,100.379,90.517,99.448
host,58.406,152.534,74.995,65.661,57.232,52.638,60.345,98.097
28,21.991,86.807,81.7,173.613,146.722,146.897,172.414,97.54
aspiring,32.665,123.164,77.313,96.266,146.722,71.612,125.0,96.784
big,73.193,121.27,80.955,99.605,100.937,78.345,116.379,96.745
acab,8.653,91.663,61.668,205.331,234.131,164.647,185.345,96.426
dm,84.463,123.875,65.724,138.0,149.844,99.155,112.069,96.228
d,54.617,119.612,80.293,99.605,92.612,85.69,103.448,95.91
feminist,15.981,32.212,154.626,51.194,15.609,80.181,125.0,95.711
don't,76.571,111.085,78.637,112.96,113.424,87.526,202.586,95.035
health,64.588,64.78,128.22,59.54,35.38,63.043,60.345,93.603
banner,12.306,132.046,45.278,145.234,194.589,100.992,163.793,91.973
husband,164.414,247.395,12.168,10.573,45.786,3.06,34.483,91.933
some,65.437,129.678,67.959,83.468,106.139,67.328,142.241,91.893
person,45.498,91.9,86.501,126.315,93.652,88.138,103.448,91.695
politics,51.504,129.086,82.031,45.629,62.435,33.664,73.276,91.257
play,57.288,140.218,53.722,91.258,115.505,74.06,125.0,89.786
work,76.081,97.347,85.259,95.153,79.084,78.957,99.138,89.508
cats,26.463,55.898,117.294,89.032,46.826,82.629,56.034,89.15
book,42.776,69.398,116.052,50.081,39.542,64.879,60.345,88.911
30,30.083,78.044,79.465,145.79,121.748,120.578,137.931,88.553
best,98.433,103.269,80.21,81.242,81.165,77.733,120.69,88.275
day,85.115,101.018,85.342,65.661,64.516,74.06,77.586,87.599
follow,136.09,105.045,71.353,99.048,111.342,82.629,125.0,87.4
get,110.081,96.637,84.183,82.355,83.247,71.612,86.207,87.4
please,47.504,80.057,70.939,173.613,134.235,101.604,215.517,87.082
member,59.604,109.664,80.789,54.532,65.557,54.474,43.103,85.969
living,100.029,90.36,89.646,70.113,58.273,52.638,77.586,84.776
furry,12.87,131.099,29.137,129.653,232.05,88.138,306.034,84.696
coffee,35.547,64.188,109.099,48.968,64.516,63.043,60.345,84.577
player,55.214,148.153,45.775,78.46,88.45,48.966,64.655,84.497
tech,62.384,118.19,71.601,52.306,67.638,44.069,77.586,83.98
bisexual,12.392,71.412,76.816,94.597,130.073,143.224,193.966,83.702
digital,50.806,78.754,83.273,90.145,91.571,91.198,120.69,83.424
guy,79.666,212.814,7.284,20.032,127.992,13.466,77.586,82.867
geek,29.719,112.506,79.465,27.823,43.704,43.457,47.414,82.867
lot,30.507,84.083,81.203,81.798,86.368,83.854,90.517,82.668
photographer,61.303,97.703,76.237,75.121,92.612,55.086,68.966,82.549
know,78.569,83.965,79.051,94.04,85.328,81.405,103.448,82.39
2,105.908,85.505,86.749,57.315,62.435,66.104,103.448,82.112
loves,58.854,86.807,84.431,61.766,72.841,52.026,116.379,81.356
don’t,76.183,73.306,85.259,82.355,58.273,95.483,81.897,80.64
reader,27.069,41.805,122.012,36.726,21.852,60.595,51.724,80.521
actor,30.588,123.164,50.328,75.677,120.708,63.043,73.276,80.322
dms,37.847,105.282,58.192,82.911,143.6,69.776,94.828,80.123
non,32.489,30.317,25.661,520.839,203.954,135.267,357.759,79.607
sports,177.924,133.468,62.827,16.694,37.461,23.871,38.793,79.527
pan,8.882,65.727,55.046,145.234,201.873,164.647,211.207,79.249
affiliate,29.727,103.979,59.681,69.557,100.937,88.75,68.966,78.811
software,34.25,157.271,36.09,46.742,46.826,31.828,77.586,78.056
main,25.023,106.466,46.603,110.734,118.626,102.216,90.517,78.056
married,63.477,78.399,80.21,71.226,58.273,64.879,112.069,77.42
writing,27.809,69.872,86.17,66.218,54.11,70.388,68.966,76.863
go,98.317,88.82,72.595,60.097,72.841,60.595,90.517,76.545
29,18.98,73.899,59.516,137.444,139.438,94.871,146.552,76.068
1,105.805,82.189,74.498,61.766,73.881,68.552,30.172,75.352
free,83.912,73.78,69.532,90.702,95.734,84.466,90.517,74.636
currently,29.539,78.991,71.932,78.46,67.638,69.164,77.586,74.477
founder,74.358,99.597,70.691,37.839,40.583,39.172,21.552,74.397
into,50.426,87.873,64.565,69.557,72.841,69.164,112.069,73.801
business,113.883,94.031,64.648,57.871,58.273,64.879,56.034,73.722
hi,36.333,59.687,69.78,112.96,108.221,96.095,176.724,73.642
commissions,11.33,55.542,57.529,161.371,129.032,143.224,90.517,72.886
musician,35.033,112.743,39.732,88.476,112.383,67.328,81.897,72.688
we,185.666,74.254,76.154,60.097,52.029,48.966,146.552,72.33
media,62.575,76.978,72.181,56.202,66.597,62.431,56.034,71.654
horror,20.571,78.044,62.248,87.363,81.165,80.181,86.207,71.455
producer,56.36,94.387,60.923,61.21,70.76,42.845,47.414,71.256
lesbian,8.678,2.842,90.143,145.79,37.461,206.268,176.724,71.137
pro,56.362,82.07,67.876,48.411,66.597,63.655,43.103,70.699
rights,27.686,76.386,69.449,62.879,63.476,53.862,94.828,70.302
likes,27.254,96.4,48.589,77.903,113.424,55.698,99.138,70.143
justice,31.942,58.385,85.839,52.306,41.623,48.354,47.414,69.745
manager,48.451,82.899,71.436,40.065,36.42,37.948,34.483,69.188
probably,22.246,71.175,68.29,59.54,71.8,76.509,51.724,69.149
live,111.567,71.056,71.518,71.226,58.273,41.621,43.103,68.632
little,41.478,62.056,72.512,69.557,86.368,60.595,77.586,68.592
man,84.259,140.099,22.598,51.194,101.977,30.604,107.759,68.433
ally,11.531,76.741,84.183,7.234,14.568,12.241,30.172,68.353
write,24.782,70.938,65.641,70.669,58.273,60.595,47.414,67.001
bad,31.297,87.518,53.97,65.105,69.719,56.923,68.966,66.962
grad,38.77,64.188,77.975,35.056,48.907,45.293,56.034,66.842
father,160.378,184.036,2.732,8.903,37.461,2.448,30.172,65.61
professor,34.427,77.688,73.422,20.032,21.852,27.543,12.931,65.53
very,33.736,72.833,57.364,80.686,84.287,58.759,73.276,65.49
food,52.378,70.464,73.753,31.718,29.136,33.664,77.586,65.371
much,39.316,72.596,61.751,68.444,62.435,55.698,47.414,65.371
draw,13.02,59.806,52.066,116.855,116.545,93.647,146.552,65.331
educator,40.322,52.463,83.438,42.847,33.299,39.785,30.172,64.894
adhd,7.516,55.661,56.37,97.936,96.774,116.293,86.207,64.814
illustrator,12.207,46.779,61.916,105.726,79.084,115.681,94.828,64.417
tweet,42.359,77.215,59.764,53.419,58.273,48.966,56.034,64.377
tv,40.515,60.872,79.548,32.274,24.974,33.664,30.172,64.377
podcast,53.568,95.216,52.149,38.952,35.38,33.052,90.517,64.139
working,51.577,84.083,57.778,46.186,48.907,34.276,60.345,63.94
anti,24.707,77.333,52.149,71.782,89.49,54.474,51.724,63.582
header,8.125,59.924,48.093,114.073,145.682,78.957,125.0,63.224
full,47.956,62.411,61.089,74.565,68.678,63.043,68.966,62.985
design,36.335,81.241,54.053,47.298,62.435,47.741,68.966,62.747
public,48.194,56.135,78.223,35.056,24.974,31.216,38.793,62.27
university,97.441,73.07,66.469,32.274,23.933,33.052,34.483,62.15
history,40.095,72.359,64.896,36.169,38.502,30.604,60.345,62.071
dni,7.988,55.424,40.809,131.879,152.966,120.578,81.897,62.071
shit,43.14,65.964,51.569,93.484,81.165,70.388,81.897,62.031
talk,38.295,67.74,56.37,67.331,67.638,60.595,56.034,61.673
personal,40.078,64.424,58.44,69.557,67.638,50.802,86.207,61.355
post,30.32,72.477,46.189,86.807,97.815,61.207,73.276,61.116
mother,73.831,5.329,114.562,17.806,7.284,37.336,17.241,60.957
school,115.832,56.253,75.823,27.823,32.258,30.604,34.483,60.838
years,72.438,78.162,44.947,64.548,73.881,51.414,219.828,60.639
lgbtq,14.625,63.832,59.35,61.766,53.07,52.638,81.897,60.56
american,72.934,71.53,59.268,46.186,50.989,33.052,43.103,60.281
3,107.824,63.595,61.254,45.073,64.516,41.621,103.448,60.122
17,25.229,62.056,51.901,65.105,98.855,79.569,73.276,60.043
want,62.265,64.78,56.039,55.645,52.029,63.043,77.586,59.446
fi,13.753,63.832,50.411,86.25,66.597,63.655,77.586,59.208
star,27.273,83.018,49.997,32.274,45.786,39.785,60.345,59.089
s,86.996,56.253,67.214,45.629,46.826,34.888,60.345,59.049
autistic,7.53,55.424,34.683,155.25,133.195,91.198,159.483,58.85
//twitch,33.573,96.518,29.634,65.105,91.571,45.293,86.207,58.532
owner,76.874,65.135,57.695,48.968,49.948,47.129,47.414,58.492
formerly,21.219,78.873,54.632,32.274,47.867,18.362,47.414,58.492
future,50.738,61.108,60.592,43.403,45.786,49.578,77.586,58.413
pansexual,7.74,46.779,39.65,126.871,117.586,117.517,254.31,58.293
developer,26.913,115.467,26.323,35.613,49.948,18.362,30.172,57.339
candidate,18.003,54.95,68.373,27.266,33.299,39.172,21.552,57.259
maker,20.159,61.819,51.156,65.105,67.638,56.923,47.414,56.703
ace,6.888,38.134,48.589,132.436,75.963,107.724,120.69,56.623
binary,7.576,6.987,5.132,489.121,169.615,113.233,323.276,56.583
amateur,23.937,84.32,42.464,47.298,42.664,34.888,60.345,56.544
many,31.324,60.635,56.122,56.758,41.623,44.681,64.655,56.464
friends,50.646,64.898,49.086,53.976,71.8,55.086,81.897,56.305
t,45.781,51.634,55.129,57.871,107.18,55.698,64.655,56.265
film,29.187,80.175,46.023,29.492,50.989,43.457,17.241,56.067
friend,39.905,58.385,55.212,47.855,57.232,55.086,60.345,55.868
still,39.729,56.845,56.536,58.984,48.907,46.517,56.034,55.868
freelance,18.703,51.871,56.039,62.879,70.76,56.923,30.172,55.51
college,64.678,64.424,53.639,42.29,54.11,33.052,43.103,55.033
movies,34.68,87.518,43.209,28.936,24.974,23.871,30.172,54.993
state,96.251,63.003,60.095,28.936,24.974,24.483,12.931,54.754
being,48.025,57.793,51.238,56.758,64.516,49.578,77.586,54.476
thoughts,29.117,57.911,56.288,40.065,52.029,45.293,12.931,54.396
never,66.554,56.608,53.639,51.75,64.516,40.397,86.207,54.357
way,57.361,58.029,54.88,48.411,35.38,46.517,73.276,54.357
fantasy,21.596,57.437,53.391,47.298,39.542,57.535,56.034,54.078
fuck,32.296,55.661,41.057,95.71,87.409,74.673,60.345,53.999
was,53.745,56.845,53.804,53.976,52.029,42.845,30.172,53.84
instagram,90.357,47.726,59.433,51.75,42.664,46.517,90.517,53.76
than,53.41,61.582,53.142,45.073,38.502,34.276,43.103,53.522
community,66.587,58.385,56.205,40.065,28.096,37.948,51.724,53.482
when,59.806,58.622,51.487,43.96,58.273,49.578,38.793,53.363
ffxiv,6.349,57.437,38.408,84.581,89.49,76.509,112.069,53.204
fun,72.841,68.688,44.12,52.306,53.07,34.276,77.586,52.965
over,56.753,50.332,58.026,45.073,38.502,39.785,86.207,52.846
really,28.981,53.174,50.493,61.21,47.867,56.31,94.828,52.846
since,65.817,50.687,59.599,29.492,29.136,49.578,64.655,52.687
animal,32.223,33.633,70.36,36.169,28.096,49.578,43.103,52.369
insta,40.813,38.607,57.281,58.984,60.354,74.673,38.793,52.209
call,37.993,48.91,41.802,100.161,75.963,68.552,125.0,52.17
better,57.176,66.319,48.258,29.492,47.867,34.276,43.103,52.011
bts,15.968,4.5,94.199,23.927,7.284,45.905,25.862,51.971
making,39.551,64.661,43.292,47.298,47.867,44.681,81.897,51.374
dogs,30.564,38.37,72.015,18.919,18.73,23.871,30.172,51.374
white,23.203,48.674,40.064,102.944,81.165,64.267,112.069,51.255
gaming,34.265,83.018,31.207,39.508,52.029,36.724,81.897,50.818
part,34.274,58.74,44.865,42.847,67.638,47.129,68.966,50.619
scientist,20.448,62.056,52.066,21.145,28.096,28.155,25.862,50.5
witch,7.545,11.369,64.648,72.339,57.232,113.845,77.586,50.341
learning,37.659,53.529,52.314,36.169,45.786,34.888,64.655,50.301
year,43.57,58.977,41.222,63.992,63.476,39.172,120.69,50.261
leftist,6.498,72.833,27.316,71.226,95.734,45.293,99.138,50.182
voice,23.825,72.951,32.448,46.186,86.368,44.681,51.724,50.062
occasional,13.911,63.122,40.974,56.202,45.786,40.397,86.207,50.062
name,36.315,54.003,43.457,65.661,59.313,46.517,103.448,49.943
u,64.892,43.581,52.811,59.54,44.745,55.086,38.793,49.903
//t,43.424,72.714,38.16,41.177,44.745,31.216,47.414,49.863
doing,30.526,51.161,48.424,52.863,47.867,50.802,56.034,49.863
taken,14.284,58.029,28.64,81.242,139.438,69.164,103.448,49.824
im,42.682,42.989,38.987,84.581,97.815,88.75,99.138,49.625
assistant,33.618,50.568,58.109,21.702,19.771,31.828,21.552,49.466
profile,16.365,70.583,31.786,66.218,64.516,37.948,90.517,49.466
woman,32.63,6.987,85.176,17.25,2.081,63.655,64.655,49.307
real,96.633,50.095,49.748,46.186,47.867,49.578,21.552,49.267
m,67.525,58.74,44.782,36.726,52.029,37.948,73.276,48.989
creative,36.048,50.45,49.583,47.298,44.745,40.397,30.172,48.75
comics,13.362,77.333,27.647,56.202,52.029,48.354,34.483,48.71
cosplayer,7.242,23.449,50.99,89.589,73.881,95.483,94.828,48.671
looking,57.429,66.556,36.421,51.75,65.557,29.379,64.655,48.551
heart,44.181,41.568,56.867,38.395,33.299,41.621,47.414,48.432
everything,60.592,48.792,49.417,47.855,39.542,47.129,25.862,48.352
boy,37.206,84.32,22.432,44.516,124.87,12.853,43.103,48.273
single,39.31,75.793,30.048,35.613,77.003,33.052,73.276,48.193
political,36.228,67.267,43.209,26.153,32.258,17.75,51.724,48.074
pop,21.757,48.081,54.632,31.161,29.136,29.379,34.483,47.955
space,24.837,51.871,41.719,61.766,53.07,51.414,51.724,47.716
16,23.647,51.042,37.829,60.653,100.937,54.474,73.276,47.716
kind,29.367,46.187,52.646,35.056,39.542,35.5,43.103,47.517
born,63.569,57.911,47.845,23.371,28.096,28.155,47.414,47.438
etc,21.552,54.832,43.457,38.395,43.704,45.905,64.655,47.279
b,41.555,45.476,45.113,56.758,56.191,56.31,34.483,47.12
cool,29.67,62.648,35.925,45.629,59.313,34.888,112.069,47.12
local,32.772,44.173,39.319,74.565,79.084,68.552,38.793,46.881
culture,30.84,48.2,54.632,22.258,19.771,24.483,43.103,46.762
4,86.428,43.226,52.894,40.065,26.015,37.336,34.483,46.523
made,39.973,55.424,39.153,43.96,58.273,44.069,73.276,46.324
board,21.421,71.885,39.319,19.476,16.649,17.75,12.931,46.324
funny,24.248,52.7,39.319,47.855,58.273,49.578,60.345,46.006
dev,12.262,74.254,26.406,45.629,61.394,29.379,64.655,45.728
most,53.025,57.556,40.643,39.508,42.664,27.543,60.345,45.648
activist,22.466,36.712,52.066,55.645,35.38,34.276,81.897,45.648
multi,14.372,17.764,63.158,47.855,39.542,61.819,34.483,45.569
words,17.641,40.502,55.708,25.597,22.893,32.44,12.931,45.291
read,23.149,40.028,50.411,43.403,43.704,34.888,51.724,45.171
how,46.198,46.305,45.858,45.629,34.339,37.948,34.483,44.933
liberal,28.5,46.66,56.039,11.685,12.487,11.629,25.862,44.893
progressive,18.769,63.477,41.636,16.694,22.893,8.569,34.483,44.257
see,52.757,46.423,42.878,41.177,42.664,39.785,68.966,43.978
prof,13.151,45.595,53.887,9.46,15.609,17.75,30.172,43.899
comic,14.767,70.938,24.253,47.855,60.354,36.112,34.483,43.859
age,15.595,47.608,34.186,57.871,82.206,47.129,116.379,43.819
data,28.079,68.451,34.104,21.145,23.933,25.095,34.483,43.74
disabled,10.5,22.264,39.898,128.54,70.76,71.612,60.345,43.74
back,65.661,47.134,42.547,43.403,34.339,40.397,25.862,43.541
us,106.312,53.648,40.312,34.5,30.177,31.216,47.414,43.461
youtube,60.693,69.991,27.978,32.274,47.867,30.604,43.103,43.461
31,12.469,45.476,34.849,64.548,57.232,58.759,90.517,43.461
obsessed,14.699,28.304,55.377,39.508,33.299,42.845,47.414,43.422
it's,41.492,53.766,37.498,39.508,42.664,34.888,51.724,43.263
self,34.302,43.226,42.464,46.742,46.826,42.233,51.724,43.263
senior,24.784,60.043,41.719,12.798,16.649,18.974,21.552,43.183
research,34.406,47.608,50.659,15.581,17.69,13.466,17.241,43.143
cancer,24.351,24.041,57.033,31.718,27.055,58.147,21.552,42.746
tired,11.938,33.16,42.133,76.234,48.907,49.578,60.345,42.467
addict,21.834,44.292,47.017,25.597,31.217,26.931,21.552,42.428
something,28.639,45.239,38.987,46.742,48.907,40.397,43.103,42.149
major,18.791,46.423,34.021,50.081,71.8,53.25,43.103,42.11
support,42.155,46.897,38.491,45.629,45.786,34.888,60.345,42.07
stream,21.794,56.135,28.227,38.952,68.678,52.026,77.586,41.911
discord,19.708,67.74,18.707,46.186,75.963,44.069,103.448,41.752
graphic,21.91,46.779,38.408,37.839,49.948,37.948,51.724,41.712
friendly,19.043,48.555,31.869,58.984,66.597,37.948,77.586,41.553
forever,31.02,34.107,49.748,38.395,33.299,25.095,38.793,41.354
bitch,22.064,16.461,51.983,59.54,31.217,75.285,56.034,41.354
based,43.037,48.437,38.739,36.169,33.299,31.828,51.724,41.274
master,24.386,63.122,27.068,42.29,49.948,28.155,34.483,41.274
first,64.833,40.147,45.775,28.379,24.974,37.948,25.862,41.155
army,40.794,22.146,63.655,18.919,7.284,20.198,21.552,41.155
enjoyer,9.174,65.017,19.701,48.411,84.287,40.397,38.793,40.956
native,37.65,42.634,48.424,21.145,19.771,13.466,21.552,40.917
check,41.04,46.897,32.945,48.411,57.232,48.354,51.724,40.837
